2026-03-15 02:50:15 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 02:50:15 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 02:50:15 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:38:55 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 03:38:55 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 03:38:55 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:38:55 | INFO    | myelomemory | <<< STAGE END: data_validate (0.0 min)
2026-03-15 03:38:55 | INFO    | myelomemory | === Pipeline stage: data_prep ===
2026-03-15 03:38:56 | INFO    | myelomemory | >>> STAGE START: data_prep
2026-03-15 03:38:56 | INFO    | myelomemory.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
2026-03-15 03:38:57 | INFO    | myelomemory.data.loaders | Loaded proteomics: 375 cell lines, 12558 proteins
2026-03-15 03:38:58 | INFO    | myelomemory.data.loaders | After coverage filter (70%): 8001 proteins retained
2026-03-15 03:38:58 | INFO    | myelomemory.data.loaders | Loading CCLE epigenomics from data/raw/ccle_epigenomics
2026-03-15 03:38:58 | INFO    | myelomemory.data.loaders |   chromatin_profiling: 897 lines, 43 features
2026-03-15 03:38:58 | INFO    | myelomemory.data.loaders | Loading STRING PPI network from data/raw/string_ppi.txt
2026-03-15 03:39:01 | INFO    | myelomemory.data.loaders | PPI edges after confidence filter (>=0.7): 13494740
2026-03-15 03:39:12 | INFO    | myelomemory.data.preprocessors | Harmonizing multi-omics data
2026-03-15 03:39:12 | INFO    | myelomemory.data.preprocessors | Cell lines in common across modalities: 0
2026-03-15 03:39:12 | WARNING | myelomemory.data.preprocessors | Only 0 common cell lines found. Consider relaxing matching criteria.
2026-03-15 03:50:11 | WARNING | myelomemory | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-03-15 03:50:11 | INFO    | myelomemory | === Pipeline stage: data_validate ===
2026-03-15 03:50:11 | INFO    | myelomemory | >>> STAGE START: data_validate
2026-03-15 03:50:11 | INFO    | myelomemory | <<< STAGE END: data_validate (0.0 min)
2026-03-15 03:50:11 | INFO    | myelomemory | === Pipeline stage: data_prep ===
2026-03-15 03:50:12 | INFO    | myelomemory | >>> STAGE START: data_prep
2026-03-15 03:50:12 | INFO    | myelomemory.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
2026-03-15 03:50:13 | INFO    | myelomemory.data.loaders | Loaded proteomics: 375 cell lines, 12558 proteins
2026-03-15 03:50:14 | INFO    | myelomemory.data.loaders | After coverage filter (70%): 8001 proteins retained
2026-03-15 03:50:14 | INFO    | myelomemory.data.loaders | Loading CCLE epigenomics from data/raw/ccle_epigenomics
2026-03-15 03:50:14 | INFO    | myelomemory.data.loaders |   chromatin_profiling: 897 lines, 43 features
